设备类别,标注json文件名称,data_path,json_path,转换状态（Y/N）
pika,task_bag_todesk_1000_4.29,,,
,无干扰250/桃子,,,
,1,/docker/1.上传数据/data4/pika/task_bag_todesk_1000_4.29/brown/无干扰250/桃子/episode0,data/manual-upload/RoboBrain_Robotic_pika/videos/train/2248/2248_cam_high.mp4,
,2,/docker/1.上传数据/data4/pika/task_bag_todesk_1000_4.29/brown/无干扰250/桃子/episode1,data/manual-upload/RoboBrain_Robotic_pika/videos/train/2249/2249_cam_high.mp4,
,3,/docker/1.上传数据/data4/pika/task_bag_todesk_1000_4.29/brown/无干扰250/桃子/episode2,data/manual-upload/RoboBrain_Robotic_pika/videos/train/2260/2260_cam_high.mp4,
,4,/docker/1.上传数据/data4/pika/task_bag_todesk_1000_4.29/brown/无干扰250/桃子/episode3,data/manual-upload/RoboBrain_Robotic_pika/videos/train/2271/2271_cam_high.mp4,
,5,/docker/1.上传数据/data4/pika/task_bag_todesk_1000_4.29/brown/无干扰250/桃子/episode4,data/manual-upload/RoboBrain_Robotic_pika/videos/train/2273/2273_cam_high.mp4,
,6,/docker/1.上传数据/data4/pika/task_bag_todesk_1000_4.29/brown/无干扰250/桃子/episode5,data/manual-upload/RoboBrain_Robotic_pika/videos/train/2274/2274_cam_high.mp4,
,7,/docker/1.上传数据/data4/pika/task_bag_todesk_1000_4.29/brown/无干扰250/桃子/episode6,data/manual-upload/RoboBrain_Robotic_pika/videos/train/2275/2275_cam_high.mp4,
,8,/docker/1.上传数据/data4/pika/task_bag_todesk_1000_4.29/brown/无干扰250/桃子/episode7,data/manual-upload/RoboBrain_Robotic_pika/videos/train/2276/2276_cam_high.mp4,
,9,/docker/1.上传数据/data4/pika/task_bag_todesk_1000_4.29/brown/无干扰250/桃子/episode8,data/manual-upload/RoboBrain_Robotic_pika/videos/train/2277/2277_cam_high.mp4,
,10,/docker/1.上传数据/data4/pika/task_bag_todesk_1000_4.29/brown/无干扰250/桃子/episode9,data/manual-upload/RoboBrain_Robotic_pika/videos/train/2278/2278_cam_high.mp4,
,11,/docker/1.上传数据/data4/pika/task_bag_todesk_1000_4.29/brown/无干扰250/桃子/episode10,data/manual-upload/RoboBrain_Robotic_pika/videos/train/2250/2250_cam_high.mp4,
,12,/docker/1.上传数据/data4/pika/task_bag_todesk_1000_4.29/brown/无干扰250/桃子/episode11,data/manual-upload/RoboBrain_Robotic_pika/videos/train/2251/2251_cam_high.mp4,
,13,/docker/1.上传数据/data4/pika/task_bag_todesk_1000_4.29/brown/无干扰250/桃子/episode12,data/manual-upload/RoboBrain_Robotic_pika/videos/train/2252/2252_cam_high.mp4,
,14,/docker/1.上传数据/data4/pika/task_bag_todesk_1000_4.29/brown/无干扰250/桃子/episode13,data/manual-upload/RoboBrain_Robotic_pika/videos/train/2253/2253_cam_high.mp4,
