设备类别,标注json文件名称,data_path,json_path,,,,,
PIKA,task_basket_storage_orange_1000_5.14,,,,,,,
,task_basket_storage_orange_1000_5.14/task_left_black_orange_250,/docker/1.上传数据/WD14T/PIKA/task_basket_storage_orange_1000_5.14/task_left_black_orange_250/episode1,data/manual-upload/RoboBrain_Robotic_pika/videos/train/10233/10233_cam_high.mp4,,,data/manual-upload/RoboBrain_Robotic_pika/videos/train/10233,/10233,_cam_high.mp4
,,/docker/1.上传数据/WD14T/PIKA/task_basket_storage_orange_1000_5.14/task_left_black_orange_250/episode2,data/manual-upload/RoboBrain_Robotic_pika/videos/train/10234/10234_cam_high.mp4,,,data/manual-upload/RoboBrain_Robotic_pika/videos/train/10234,/10234,_cam_high.mp4
,,/docker/1.上传数据/WD14T/PIKA/task_basket_storage_orange_1000_5.14/task_left_black_orange_250/episode3,data/manual-upload/RoboBrain_Robotic_pika/videos/train/10235/10235_cam_high.mp4,,,data/manual-upload/RoboBrain_Robotic_pika/videos/train/10235,/10235,_cam_high.mp4
,,/docker/1.上传数据/WD14T/PIKA/task_basket_storage_orange_1000_5.14/task_left_black_orange_250/episode4,data/manual-upload/RoboBrain_Robotic_pika/videos/train/10236/10236_cam_high.mp4,,,data/manual-upload/RoboBrain_Robotic_pika/videos/train/10236,/10236,_cam_high.mp4
,,/docker/1.上传数据/WD14T/PIKA/task_basket_storage_orange_1000_5.14/task_left_black_orange_250/episode5,data/manual-upload/RoboBrain_Robotic_pika/videos/train/10237/10237_cam_high.mp4,,,data/manual-upload/RoboBrain_Robotic_pika/videos/train/10237,/10237,_cam_high.mp4
,,/docker/1.上传数据/WD14T/PIKA/task_basket_storage_orange_1000_5.14/task_left_black_orange_250/episode6,data/manual-upload/RoboBrain_Robotic_pika/videos/train/10238/10238_cam_high.mp4,,,data/manual-upload/RoboBrain_Robotic_pika/videos/train/10238,/10238,_cam_high.mp4
,,/docker/1.上传数据/WD14T/PIKA/task_basket_storage_orange_1000_5.14/task_left_black_orange_250/episode7,data/manual-upload/RoboBrain_Robotic_pika/videos/train/10239/10239_cam_high.mp4,,,data/manual-upload/RoboBrain_Robotic_pika/videos/train/10239,/10239,_cam_high.mp4
,,/docker/1.上传数据/WD14T/PIKA/task_basket_storage_orange_1000_5.14/task_left_black_orange_250/episode8,data/manual-upload/RoboBrain_Robotic_pika/videos/train/10240/10240_cam_high.mp4,,,data/manual-upload/RoboBrain_Robotic_pika/videos/train/10240,/10240,_cam_high.mp4
,,/docker/1.上传数据/WD14T/PIKA/task_basket_storage_orange_1000_5.14/task_left_black_orange_250/episode9,data/manual-upload/RoboBrain_Robotic_pika/videos/train/10241/10241_cam_high.mp4,,,data/manual-upload/RoboBrain_Robotic_pika/videos/train/10241,/10241,_cam_high.mp4
,,/docker/1.上传数据/WD14T/PIKA/task_basket_storage_orange_1000_5.14/task_left_black_orange_250/episode10,data/manual-upload/RoboBrain_Robotic_pika/videos/train/10242/10242_cam_high.mp4,,,data/manual-upload/RoboBrain_Robotic_pika/videos/train/10242,/10242,_cam_high.mp4
,,/docker/1.上传数据/WD14T/PIKA/task_basket_storage_orange_1000_5.14/task_left_black_orange_250/episode11,data/manual-upload/RoboBrain_Robotic_pika/videos/train/10243/10243_cam_high.mp4,,,data/manual-upload/RoboBrain_Robotic_pika/videos/train/10243,/10243,_cam_high.mp4
,,/docker/1.上传数据/WD14T/PIKA/task_basket_storage_orange_1000_5.14/task_left_black_orange_250/episode12,data/manual-upload/RoboBrain_Robotic_pika/videos/train/10244/10244_cam_high.mp4,,,data/manual-upload/RoboBrain_Robotic_pika/videos/train/10244,/10244,_cam_high.mp4
,,/docker/1.上传数据/WD14T/PIKA/task_basket_storage_orange_1000_5.14/task_left_black_orange_250/episode13,data/manual-upload/RoboBrain_Robotic_pika/videos/train/10245/10245_cam_high.mp4,,,data/manual-upload/RoboBrain_Robotic_pika/videos/train/10245,/10245,_cam_high.mp4
,,/docker/1.上传数据/WD14T/PIKA/task_basket_storage_orange_1000_5.14/task_left_black_orange_250/episode14,data/manual-upload/RoboBrain_Robotic_pika/videos/train/10246/10246_cam_high.mp4,,,data/manual-upload/RoboBrain_Robotic_pika/videos/train/10246,/10246,_cam_high.mp4
,,/docker/1.上传数据/WD14T/PIKA/task_basket_storage_orange_1000_5.14/task_left_black_orange_250/episode15,data/manual-upload/RoboBrain_Robotic_pika/videos/train/10247/10247_cam_high.mp4,,,data/manual-upload/RoboBrain_Robotic_pika/videos/train/10247,/10247,_cam_high.mp4
,,/docker/1.上传数据/WD14T/PIKA/task_basket_storage_orange_1000_5.14/task_left_black_orange_250/episode16,data/manual-upload/RoboBrain_Robotic_pika/videos/train/10248/10248_cam_high.mp4,,,data/manual-upload/RoboBrain_Robotic_pika/videos/train/10248,/10248,_cam_high.mp4
,,/docker/1.上传数据/WD14T/PIKA/task_basket_storage_orange_1000_5.14/task_left_black_orange_250/episode17,data/manual-upload/RoboBrain_Robotic_pika/videos/train/10249/10249_cam_high.mp4,,,data/manual-upload/RoboBrain_Robotic_pika/videos/train/10249,/10249,_cam_high.mp4
,,/docker/1.上传数据/WD14T/PIKA/task_basket_storage_orange_1000_5.14/task_left_black_orange_250/episode18,data/manual-upload/RoboBrain_Robotic_pika/videos/train/10250/10250_cam_high.mp4,,,data/manual-upload/RoboBrain_Robotic_pika/videos/train/10250,/10250,_cam_high.mp4
,,/docker/1.上传数据/WD14T/PIKA/task_basket_storage_orange_1000_5.14/task_left_black_orange_250/episode19,data/manual-upload/RoboBrain_Robotic_pika/videos/train/10251/10251_cam_high.mp4,,,data/manual-upload/RoboBrain_Robotic_pika/videos/train/10251,/10251,_cam_high.mp4
,,/docker/1.上传数据/WD14T/PIKA/task_basket_storage_orange_1000_5.14/task_left_black_orange_250/episode20,data/manual-upload/RoboBrain_Robotic_pika/videos/train/10252/10252_cam_high.mp4,,,data/manual-upload/RoboBrain_Robotic_pika/videos/train/10252,/10252,_cam_high.mp4
,,/docker/1.上传数据/WD14T/PIKA/task_basket_storage_orange_1000_5.14/task_left_black_orange_250/episode21,data/manual-upload/RoboBrain_Robotic_pika/videos/train/10253/10253_cam_high.mp4,,,data/manual-upload/RoboBrain_Robotic_pika/videos/train/10253,/10253,_cam_high.mp4
,,/docker/1.上传数据/WD14T/PIKA/task_basket_storage_orange_1000_5.14/task_left_black_orange_250/episode22,data/manual-upload/RoboBrain_Robotic_pika/videos/train/10254/10254_cam_high.mp4,,,data/manual-upload/RoboBrain_Robotic_pika/videos/train/10254,/10254,_cam_high.mp4
,,/docker/1.上传数据/WD14T/PIKA/task_basket_storage_orange_1000_5.14/task_left_black_orange_250/episode23,data/manual-upload/RoboBrain_Robotic_pika/videos/train/10255/10255_cam_high.mp4,,,data/manual-upload/RoboBrain_Robotic_pika/videos/train/10255,/10255,_cam_high.mp4
