设备类别,标注json文件名称,data_path,json_path,转换状态（Y/N）
PIAK,task_fold_towel_1000_5.05,,,
,task_fold_towel_1000_5.05/right_hand_press_green_towel,/docker/1.上传数据/WD14T/PIKA/task_fold_towel_1000_5.05/right_hand_press_green_towel/episode0,data/manual-upload/RoboBrain_Robotic_pika/videos/train/12739/12739_cam_high.mp4,
,2,/docker/1.上传数据/WD14T/PIKA/task_fold_towel_1000_5.05/right_hand_press_green_towel/episode1,data/manual-upload/RoboBrain_Robotic_pika/videos/train/12740/12740_cam_high.mp4,
,3,/docker/1.上传数据/WD14T/PIKA/task_fold_towel_1000_5.05/right_hand_press_green_towel/episode2,data/manual-upload/RoboBrain_Robotic_pika/videos/train/12851/12851_cam_high.mp4,
,4,/docker/1.上传数据/WD14T/PIKA/task_fold_towel_1000_5.05/right_hand_press_green_towel/episode3,data/manual-upload/RoboBrain_Robotic_pika/videos/train/12912/12912_cam_high.mp4,
,5,/docker/1.上传数据/WD14T/PIKA/task_fold_towel_1000_5.05/right_hand_press_green_towel/episode4,data/manual-upload/RoboBrain_Robotic_pika/videos/train/12923/12923_cam_high.mp4,
,6,/docker/1.上传数据/WD14T/PIKA/task_fold_towel_1000_5.05/right_hand_press_green_towel/episode5,data/manual-upload/RoboBrain_Robotic_pika/videos/train/12934/12934_cam_high.mp4,
,7,/docker/1.上传数据/WD14T/PIKA/task_fold_towel_1000_5.05/right_hand_press_green_towel/episode6,data/manual-upload/RoboBrain_Robotic_pika/videos/train/12945/12945_cam_high.mp4,
,8,/docker/1.上传数据/WD14T/PIKA/task_fold_towel_1000_5.05/right_hand_press_green_towel/episode7,data/manual-upload/RoboBrain_Robotic_pika/videos/train/12956/12956_cam_high.mp4,
,9,/docker/1.上传数据/WD14T/PIKA/task_fold_towel_1000_5.05/right_hand_press_green_towel/episode8,data/manual-upload/RoboBrain_Robotic_pika/videos/train/12967/12967_cam_high.mp4,
,10,/docker/1.上传数据/WD14T/PIKA/task_fold_towel_1000_5.05/right_hand_press_green_towel/episode9,data/manual-upload/RoboBrain_Robotic_pika/videos/train/12978/12978_cam_high.mp4,
,11,/docker/1.上传数据/WD14T/PIKA/task_fold_towel_1000_5.05/right_hand_press_green_towel/episode10,data/manual-upload/RoboBrain_Robotic_pika/videos/train/12741/12741_cam_high.mp4,
,12,/docker/1.上传数据/WD14T/PIKA/task_fold_towel_1000_5.05/right_hand_press_green_towel/episode11,data/manual-upload/RoboBrain_Robotic_pika/videos/train/12752/12752_cam_high.mp4,
,13,/docker/1.上传数据/WD14T/PIKA/task_fold_towel_1000_5.05/right_hand_press_green_towel/episode12,data/manual-upload/RoboBrain_Robotic_pika/videos/train/12763/12763_cam_high.mp4,
,14,/docker/1.上传数据/WD14T/PIKA/task_fold_towel_1000_5.05/right_hand_press_green_towel/episode13,data/manual-upload/RoboBrain_Robotic_pika/videos/train/12774/12774_cam_high.mp4,
,15,/docker/1.上传数据/WD14T/PIKA/task_fold_towel_1000_5.05/right_hand_press_green_towel/episode14,data/manual-upload/RoboBrain_Robotic_pika/videos/train/12785/12785_cam_high.mp4,
,16,/docker/1.上传数据/WD14T/PIKA/task_fold_towel_1000_5.05/right_hand_press_green_towel/episode15,data/manual-upload/RoboBrain_Robotic_pika/videos/train/12796/12796_cam_high.mp4,
,17,/docker/1.上传数据/WD14T/PIKA/task_fold_towel_1000_5.05/right_hand_press_green_towel/episode16,data/manual-upload/RoboBrain_Robotic_pika/videos/train/12807/12807_cam_high.mp4,
,18,/docker/1.上传数据/WD14T/PIKA/task_fold_towel_1000_5.05/right_hand_press_green_towel/episode17,data/manual-upload/RoboBrain_Robotic_pika/videos/train/12818/12818_cam_high.mp4,
,19,/docker/1.上传数据/WD14T/PIKA/task_fold_towel_1000_5.05/right_hand_press_green_towel/episode18,data/manual-upload/RoboBrain_Robotic_pika/videos/train/12829/12829_cam_high.mp4,
,20,/docker/1.上传数据/WD14T/PIKA/task_fold_towel_1000_5.05/right_hand_press_green_towel/episode19,data/manual-upload/RoboBrain_Robotic_pika/videos/train/12840/12840_cam_high.mp4,
,21,/docker/1.上传数据/WD14T/PIKA/task_fold_towel_1000_5.05/right_hand_press_green_towel/episode20,data/manual-upload/RoboBrain_Robotic_pika/videos/train/12852/12852_cam_high.mp4,
,22,/docker/1.上传数据/WD14T/PIKA/task_fold_towel_1000_5.05/right_hand_press_green_towel/episode21,data/manual-upload/RoboBrain_Robotic_pika/videos/train/12863/12863_cam_high.mp4,
,23,/docker/1.上传数据/WD14T/PIKA/task_fold_towel_1000_5.05/right_hand_press_green_towel/episode22,data/manual-upload/RoboBrain_Robotic_pika/videos/train/12874/12874_cam_high.mp4,
