设备类别,标注json文件名称,data_path,json_path,转换状态（Y/N）
pika,task_pour_basket_bread_1000_5.16,/docker/1.上传数据/新加卷Q/5月数据/pika/task_pour_basket_bread_1000_5.16/task_left_black_bread_250/episode0,data/manual-upload/RoboBrain_Robotic_pika/videos/train/16237/16237_cam_high.mp4,
,task_left_black_bread_250,/docker/1.上传数据/新加卷Q/5月数据/pika/task_pour_basket_bread_1000_5.16/task_left_black_bread_250/episode1,data/manual-upload/RoboBrain_Robotic_pika/videos/train/16238/16238_cam_high.mp4,
,1,/docker/1.上传数据/新加卷Q/5月数据/pika/task_pour_basket_bread_1000_5.16/task_left_black_bread_250/episode2,data/manual-upload/RoboBrain_Robotic_pika/videos/train/16349/16349_cam_high.mp4,
,2,/docker/1.上传数据/新加卷Q/5月数据/pika/task_pour_basket_bread_1000_5.16/task_left_black_bread_250/episode3,data/manual-upload/RoboBrain_Robotic_pika/videos/train/16409/16409_cam_high.mp4,
,3,/docker/1.上传数据/新加卷Q/5月数据/pika/task_pour_basket_bread_1000_5.16/task_left_black_bread_250/episode4,data/manual-upload/RoboBrain_Robotic_pika/videos/train/16420/16420_cam_high.mp4,
,4,/docker/1.上传数据/新加卷Q/5月数据/pika/task_pour_basket_bread_1000_5.16/task_left_black_bread_250/episode5,data/manual-upload/RoboBrain_Robotic_pika/videos/train/16431/16431_cam_high.mp4,
,5,/docker/1.上传数据/新加卷Q/5月数据/pika/task_pour_basket_bread_1000_5.16/task_left_black_bread_250/episode6,data/manual-upload/RoboBrain_Robotic_pika/videos/train/16442/16442_cam_high.mp4,
,6,/docker/1.上传数据/新加卷Q/5月数据/pika/task_pour_basket_bread_1000_5.16/task_left_black_bread_250/episode7,data/manual-upload/RoboBrain_Robotic_pika/videos/train/16453/16453_cam_high.mp4,
,7,/docker/1.上传数据/新加卷Q/5月数据/pika/task_pour_basket_bread_1000_5.16/task_left_black_bread_250/episode8,data/manual-upload/RoboBrain_Robotic_pika/videos/train/16464/16464_cam_high.mp4,
,8,/docker/1.上传数据/新加卷Q/5月数据/pika/task_pour_basket_bread_1000_5.16/task_left_black_bread_250/episode9,data/manual-upload/RoboBrain_Robotic_pika/videos/train/16475/16475_cam_high.mp4,
,9,/docker/1.上传数据/新加卷Q/5月数据/pika/task_pour_basket_bread_1000_5.16/task_left_black_bread_250/episode10,data/manual-upload/RoboBrain_Robotic_pika/videos/train/16239/16239_cam_high.mp4,
,10,/docker/1.上传数据/新加卷Q/5月数据/pika/task_pour_basket_bread_1000_5.16/task_left_black_bread_250/episode11,data/manual-upload/RoboBrain_Robotic_pika/videos/train/16250/16250_cam_high.mp4,
,11,/docker/1.上传数据/新加卷Q/5月数据/pika/task_pour_basket_bread_1000_5.16/task_left_black_bread_250/episode12,data/manual-upload/RoboBrain_Robotic_pika/videos/train/16261/16261_cam_high.mp4,
,12,/docker/1.上传数据/新加卷Q/5月数据/pika/task_pour_basket_bread_1000_5.16/task_left_black_bread_250/episode13,data/manual-upload/RoboBrain_Robotic_pika/videos/train/16272/16272_cam_high.mp4,
,13,/docker/1.上传数据/新加卷Q/5月数据/pika/task_pour_basket_bread_1000_5.16/task_left_black_bread_250/episode14,data/manual-upload/RoboBrain_Robotic_pika/videos/train/16283/16283_cam_high.mp4,
,14,/docker/1.上传数据/新加卷Q/5月数据/pika/task_pour_basket_bread_1000_5.16/task_left_black_bread_250/episode15,data/manual-upload/RoboBrain_Robotic_pika/videos/train/16294/16294_cam_high.mp4,
,15,/docker/1.上传数据/新加卷Q/5月数据/pika/task_pour_basket_bread_1000_5.16/task_left_black_bread_250/episode16,data/manual-upload/RoboBrain_Robotic_pika/videos/train/16305/16305_cam_high.mp4,
